section,item_id,type,title_ko,title_en,help_ko,help_en,options_ko,options_en,scale_low,scale_high,scale_low_label_ko,scale_high_label_ko,scale_low_label_en,scale_high_label_en,answer_key_ko,answer_key_en,points,required,excerpt_url
A,A1,short_text,A1. 익명 코드 (P-XXX),A1. Anonymous code (P-XXX),연구진이 부여한 익명 코드,The code assigned by the researcher,,,,,,,,,,,1,
A,A2,short_text,A2. 만 나이,A2. Age (years),,,,,,,,,,,,,1,
A,A3,multiple_choice,A3. 성별,A3. Sex,,,남|여|답하지 않음,Male|Female|Prefer not to say,,,,,,,,,1,
A,A4,multiple_choice,A4. 학년,A4. Year in school,,,2학년|3학년|4학년|기타,Sophomore|Junior|Senior|Other,,,,,,,,,1,
A,A5,checkbox,A5. 전공 (해당하는 모두),A5. Major (select all),,,음악교육|작곡|피아노|성악|관현악|음악학|실용음악|기타,Music education|Composition|Piano|Voice|Strings/Winds/Percussion|Musicology|Applied music|Other,,,,,,,,,1,
A,A6,short_text,A6. 정규 음악 교육 총 연수 (년),A6. Total years of formal music training,,,,,,,,,,,,,1,
A,A7,short_text,A7. 주 악기,A7. Primary instrument,,,,,,,,,,,,,1,
A,A8,scale,A8. 소나타 형식 이해도,A8. Self-rated form understanding,,,,,1,5,전혀 모름,잘 알고 가르칠 수 있음,No understanding,Could teach it,,,,1,
A,A9,multiple_choice,A9. K.545 1악장 연주 경험,A9. Have you performed K.545 Mvt.I?,,,있음 (학습용)|있음 (공연·콩쿠르)|없음,Yes — for study|Yes — public performance|No,,,,,,,,,1,
A,A10,multiple_choice,A10. K.545 1악장 청취 경험,A10. Have you listened to K.545 Mvt.I?,,,자주 (10회 이상)|가끔 (3–9회)|드물게 (1–2회)|처음,Often (10+)|Sometimes (3–9)|Rarely (1–2)|Never,,,,,,,,,1,
B-pre,B-α-1,multiple_choice,Beethoven Op.49 No.2 Mvt.I (마디 1–8),Beethoven Op.49 No.2 Mvt.I (mm. 1–8),,,① 제시부 P|② 제시부 S|③ 제시부 codetta|④ 발전부|⑤ 재현부 P|⑥ 재현부 S|⑦ 재현부 codetta|⑧ 모름,① Exposition P|② Exposition S|③ Exposition codetta|④ Development|⑤ Recap P|⑥ Recap S|⑦ Recap codetta|⑧ Don't know,,,,,,,① 제시부 P,① Exposition P,1,1,REPLACE_ME
